subida,denivel,pendiente,rider,minutos,segundos
Subida Bobastro Presa Alta,338,7.9,okamika,11,25
Subida Bobastro Presa Alta,338,7.9,HERRADA,11,24
Subida Bobastro Presa Alta,338,7.9,aparicio,11,02
Subida Bobastro Presa Alta,338,7.9,faura,11,25
Subida Bobastro Presa Alta,338,7.9,Carlos,11,27
Subida Bobastro Presa Alta,338,7.9,josico,11,31
Subida Bobastro Presa Alta,338,7.9,cavia,11,34
Subida Bobastro Presa Alta,338,7.9,sinuhe,12,36
Subida Bobastro Presa Alta,338,7.9,rodri,12,36
Subida Bobastro Presa Alta,338,7.9,maksym,12,39
Subida Bobastro Presa Alta,338,7.9,solhaug,12,39
Subida Bobastro Presa Alta,338,7.9,kminek,12,45
Subida Bobastro Presa Alta,338,7.9,hugo,12,46
Subida Bobastro Presa Alta,338,7.9,Eric,12,49
Subida Bobastro Presa Alta,338,7.9,macias,15,43
Repetidor,417,10.2,faura,15,25
Repetidor,417,10.2,aparicio,15,35
Repetidor,417,10.2,Carlos,15,55
Repetidor,417,10.2,eric,17,02
Repetidor,417,10.2,cavia,15,09
Repetidor,417,10.2,hugo,18,02
Repetidor,417,10.2,solhaug,15,25
Repetidor,417,10.2,maksym,16,01
Repetidor,417,10.2,okamika,17,12
Repetidor,417,10.2,josico,19,57
Repetidor,417,10.2,rodri,17,27
Repetidor,417,10.2,kminek,17,42
Repetidor,417,10.2,sinu,18,28
LA CONCEPCION,293,7.6,APA,10,52
LA CONCEPCION,293,7.6,ERIC,10,53
LA CONCEPCION,293,7.6,JOSE MANUEL,10,54
LA CONCEPCION,293,7.6,HERRADA,10,54
LA CONCEPCION,293,7.6,CAVIA,10,58
LA CONCEPCION,293,7.6,MACIAS,11,02
LA CONCEPCION,293,7.6,MAKSY,11,30
LA CONCEPCION,293,7.6,SOLHAUG,11,51
LA CONCEPCION,293,7.6,TOMOYA,14,13
Las millanas-jorox,413,5,APARICIO,14,33
Las millanas-jorox,413,5,OKAMIKA,14,24
Las millanas-jorox,413,5,REY,14,41
Las millanas-jorox,413,5,SINU,14,45
Las millanas-jorox,413,5,MACIAS,15,09
Las millanas-jorox,413,5,HUGO,14,53
Las millanas-jorox,413,5,RODRI,14,54
Las millanas-jorox,413,5,SOLHAUG,15,28
Las millanas-jorox,413,5,CHUMIL,15,32
Las millanas-jorox,413,5,MAKSYM,15,39
Las millanas-jorox,413,5,ERIC,15,41
Las millanas-jorox,413,5,HERRADA,15,43
Las millanas-jorox,413,5,JOSICO,15,46
Las millanas-jorox,413,5,KMINEK,16,14
Las millanas-jorox,413,5,FAURA,16,23
Las millanas-jorox,413,5,TOMOYA,17,38
Las millanas-jorox,413,5,CAVIA,18,04
Juanar,287,5.7,OKAMIKA,11,35
Juanar,287,5.7,REY,11,47
Juanar,287,5.7,APARICIO,11,47
Juanar,287,5.7,HUGO,11,48
Juanar,287,5.7,MACIAS,11,51
Juanar,287,5.7,SINU,12,02
Juanar,287,5.7,SOLHAUG,13,44
Juanar,287,5.7,KMINEK,14,54
La Frontera hasta el Garbí,447,8.9,PESCADOR,16,04
La Frontera hasta el Garbí,447,8.9,SCARONI,16,06
La Frontera hasta el Garbí,447,8.9,ROMEO,16,19
La Frontera hasta el Garbí,447,8.9,TORRES,16,24
La Frontera hasta el Garbí,447,8.9,AGUIRRE,16,27
La Frontera hasta el Garbí,447,8.9,POELS,16,26
La Frontera hasta el Garbí,447,8.9,IBON RUIZ,16,27
La Frontera hasta el Garbí,447,8.9,ERIC2,16,28
La Frontera hasta el Garbí,447,8.9,FAURA2,16,33
La Frontera hasta el Garbí,447,8.9,CARLOS,17,36
La Frontera hasta el Garbí,447,8.9,ERIC3,16,46
La Frontera hasta el Garbí,447,8.9,ERIC1,17,33
La Frontera hasta el Garbí,447,8.9,FAURA1,17,25
La Frontera hasta el Garbí,447,8.9,FAURA3,17,24

    
    
